各教育程度別無工作經驗者每月平均經常性薪資(平均薪資)(單位：元),,,,,,,,,,,,
　　專業人員,"34,759 ","32,814 ",－,－,－,－,－,－,"32,415 ","30,906 ","37,057 ","34,722 "
　　技術員及助理專業人員,"30,060 ","29,788 ",－,－,－,－,"26,237 ","27,632 ","29,577 ","29,605 ","34,195 ","31,982 "
　　事務支援人員,"28,289 ","28,758 ",－,－,"22,975 ","26,003 ","25,988 ","27,267 ","28,861 ","29,131 ","33,323 ","31,831 "
　　服務及銷售工作人員,"25,059 ","26,369 ","20,812 ","24,030 ","23,337 ","23,229 ","25,259 ","25,968 ","27,403 ","28,521 ",－,－
　　技藝、機械設備操作及組裝人員,"26,969 ","27,338 ",－,－,"25,979 ","26,221 ","26,415 ","26,731 ","29,179 ","29,290 ",－,－
　　基層技術工及勞力工,"20,400 ","21,889 ","19,500 ","22,020 ","20,906 ","21,838 ",－,－,－,－,－,－
醫療保健及社會工作服務業,"25,880 ","26,112 ","19,960 ","21,530 ","21,520 ","22,028 ","24,246 ","24,063 ","28,137 ","28,115 ","32,961 ","32,408 "
　　專業人員,"33,921 ","33,577 ",－,－,－,－,－,－,"32,502 ","32,022 ","36,300 ","36,470 "
　　技術員及助理專業人員,"28,614 ","27,370 ",－,－,－,－,"26,349 ","25,067 ","28,665 ","27,749 ","32,616 ","31,383 "
　　事務支援人員,"23,766 ","23,469 ",－,－,"20,976 ","20,743 ","22,527 ","22,695 ","24,529 ","24,538 ","28,613 ","27,797 "
　　服務及銷售工作人員,"22,249 ","23,330 ","20,705 ","22,088 ","21,377 ","22,465 ","22,636 ","23,562 ","23,710 ","25,227 ",－,－
　　技藝、機械設備操作及組裝人員,"25,060 ","25,402 ",－,－,"23,134 ","24,068 ","25,457 ","25,642 ","27,678 ","27,030 ",－,－
　　基層技術工及勞力工,"19,970 ","21,547 ","19,472 ","21,126 ","20,344 ","21,882 ",－,－,－,－,－,－
藝術、娛樂及休閒服務業,"22,051 ","22,854 ","19,955 ","20,215 ","20,591 ","21,355 ","22,122 ","22,660 ","23,702 ","24,324 ","28,817 ","28,017 "
　　專業人員,"26,562 ","27,986 ",－,－,－,－,－,－,"25,358 ","26,729 ","29,213 ","30,186 "
　　技術員及助理專業人員,"24,562 ","25,368 ",－,－,－,－,"23,245 ","23,627 ","24,517 ","25,445 ","28,913 ","28,780 "
　　事務支援人員,"22,255 ","22,776 ",－,－,"20,563 ","21,358 ","21,898 ","22,449 ","23,469 ","23,591 ","28,270 ","25,549 "
　　服務及銷售工作人員,"21,015 ","21,467 ","20,322 ","20,353 ","20,407 ","21,225 ","21,453 ","21,626 ","22,256 ","22,390 ",－,－
　　技藝、機械設備操作及組裝人員,"22,163 ","23,719 ",－,－,"21,851 ","23,247 ","22,378 ","23,723 ","22,544 ","24,452 ",－,－
　　基層技術工及勞力工,"19,992 ","20,422 ","19,720 ","20,134 ","20,172 ","20,622 ",－,－,－,－,－,－
,,,,,,,,,,,,
各教育程度別無工作經驗者每月平均經常性薪資(女/男(%)),,,,,,,,,,,,
,總平均,,國中及以下,,高中或高職,,專科,,大學,,研究所及以上,
,100,101,100,101,100,101,100,101,100,101,100,101
住宿及餐飲業,97 ,98 ,95 ,97 ,96 ,97 ,97 ,98 ,98 ,99 ,100 ,100 
　　專業人員,100 ,100 ,－,－,－,－,－,－,100 ,101 ,100 ,100 
　　技術員及助理專業人員,99 ,100 ,－,－,－,－,99 ,100 ,99 ,99 ,100 ,100 
　　事務支援人員,98 ,99 ,－,－,98 ,98 ,98 ,99 ,98 ,99 ,100 ,99 
　　服務及銷售工作人員,97 ,97 ,95 ,94 ,96 ,96 ,98 ,98 ,99 ,99 ,－,－
　　技藝、機械設備操作及組裝人員,94 ,99 ,－,－,92 ,99 ,95 ,98 ,95 ,99 ,－,－
　　基層技術工及勞力工,97 ,100 ,95 ,100 ,98 ,99 ,－,－,－,－,－,－
金融及保險業,100 ,100 ,100 ,100 ,99 ,99 ,99 ,100 ,99 ,100 ,100 ,100 
　　專業人員,100 ,100 ,－,－,－,－,－,－,100 ,100 ,100 ,100 
　　技術員及助理專業人員,100 ,100 ,－,－,－,－,99 ,100 ,99 ,100 ,100 ,100 
　　事務支援人員,100 ,100 ,－,－,100 ,100 ,99 ,100 ,99 ,99 ,100 ,100 
　　服務及銷售工作人員,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,101 ,－,－
　　技藝、機械設備操作及組裝人員,96 ,96 ,－,－,96 ,95 ,96 ,97 ,95 ,96 ,－,－
　　基層技術工及勞力工,100 ,96 ,100 ,99 ,99 ,95 ,－,－,－,－,－,－
醫療保健及社會工作服務業,97 ,97 ,98 ,99 ,97 ,97 ,97 ,97 ,97 ,98 ,100 ,99 
　　專業人員,96 ,98 ,－,－,－,－,－,－,95 ,97 ,100 ,100 
　　技術員及助理專業人員,98 ,96 ,－,－,－,－,97 ,96 ,99 ,97 ,99 ,99 
　　事務支援人員,97 ,97 ,－,－,98 ,97 ,98 ,97 ,98 ,98 ,100 ,99 
　　服務及銷售工作人員,98 ,99 ,97 ,100 ,97 ,98 ,97 ,98 ,100 ,99 ,－,－
　　技藝、機械設備操作及組裝人員,101 ,100 ,－,－,101 ,99 ,101 ,100 ,98 ,101 ,－,－
　　基層技術工及勞力工,98 ,99 ,98 ,99 ,98 ,99 ,－,－,－,－,－,－
藝術、娛樂及休閒服務業,97 ,99 ,99 ,100 ,97 ,99 ,97 ,98 ,98 ,99 ,99 ,99 
　　專業人員,100 ,99 ,－,－,－,－,－,－,100 ,98 ,100 ,100 
　　技術員及助理專業人員,101 ,99 ,－,－,－,－,101 ,99 ,100 ,97 ,100 ,100 
　　事務支援人員,95 ,99 ,－,－,97 ,99 ,96 ,99 ,96 ,99 ,98 ,99 
　　服務及銷售工作人員,100 ,99 ,100 ,99 ,99 ,99 ,100 ,99 ,102 ,100 ,－,－
　　技藝、機械設備操作及組裝人員,92 ,97 ,－,－,91 ,96 ,92 ,97 ,95 ,99 ,－,－
　　基層技術工及勞力工,99 ,100 ,99 ,100 ,98 ,100 ,－,－,－,－,－,－
